date,Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate,State,Cluster
2012-01-01,2012,Jan,63.3,56.3,18456650,16397835,2058815,11.2,California,4
2012-02-01,2012,Feb,63.2,56.3,18447162,16411184,2035978,11,California,4
2012-03-01,2012,Mar,63.2,56.3,18445792,16424830,2020962,11,California,4
2012-04-01,2012,Apr,63.1,56.3,18449665,16440520,2009145,10.9,California,4
2012-05-01,2012,May,63.1,56.3,18457489,16462781,1994708,10.8,California,4
2012-06-01,2012,Jun,63.1,56.3,18468110,16494261,1973849,10.7,California,4
2012-07-01,2012,Jul,63.1,56.4,18479876,16534689,1945187,10.5,California,4
2012-08-01,2012,Aug,63,56.5,18494681,16581684,1912997,10.3,California,4
2012-09-01,2012,Sep,63,56.6,18515366,16631825,1883541,10.2,California,4
2012-10-01,2012,Oct,63.1,56.7,18536565,16678616,1857949,10,California,4
2012-11-01,2012,Nov,63,56.8,18553309,16717341,1835968,9.9,California,4
2012-12-01,2012,Dec,63,56.9,18562700,16747321,1815379,9.8,California,4
2013-01-01,2013,Jan,63,56.9,18564212,16769858,1794354,9.7,California,4
2013-02-01,2013,Feb,62.9,56.9,18561589,16789624,1771965,9.5,California,4
2013-03-01,2013,Mar,62.9,56.9,18560032,16812502,1747530,9.4,California,4
2013-04-01,2013,Apr,62.8,57,18565682,16842626,1723056,9.3,California,4
2013-05-01,2013,May,62.8,57,18576563,16874399,1702164,9.2,California,4
2013-06-01,2013,Jun,62.8,57.1,18587359,16900895,1686464,9.1,California,4
2013-07-01,2013,Jul,62.7,57.1,18593103,16919448,1673655,9,California,4
2013-08-01,2013,Aug,62.7,57.1,18587188,16930930,1656258,8.9,California,4
2013-09-01,2013,Sep,62.5,57,18570217,16939401,1630816,8.8,California,4
2013-10-01,2013,Oct,62.4,57,18553825,16951113,1602712,8.6,California,4
2013-11-01,2013,Nov,62.3,57,18547876,16971722,1576154,8.5,California,4
2013-12-01,2013,Dec,62.3,57.1,18554149,17001882,1552267,8.4,California,4
2014-01-01,2014,Jan,62.3,57.2,18569356,17040259,1529097,8.2,California,4
2014-02-01,2014,Feb,62.3,57.3,18588369,17083487,1504882,8.1,California,4
2014-03-01,2014,Mar,62.3,57.4,18608224,17126546,1481678,8,California,4
2014-04-01,2014,Apr,62.3,57.4,18624963,17164661,1460302,7.8,California,4
2014-05-01,2014,May,62.3,57.5,18638929,17200175,1438754,7.7,California,4
2014-06-01,2014,Jun,62.3,57.6,18656005,17238675,1417330,7.6,California,4
2014-07-01,2014,Jul,62.3,57.7,18677566,17279967,1397599,7.5,California,4
2014-08-01,2014,Aug,62.3,57.7,18704813,17324005,1380808,7.4,California,4
2014-09-01,2014,Sep,62.4,57.8,18735234,17369795,1365439,7.3,California,4
2014-10-01,2014,Oct,62.4,57.9,18760622,17413762,1346860,7.2,California,4
2014-11-01,2014,Nov,62.4,58,18775765,17451977,1323788,7.1,California,4
2014-12-01,2014,Dec,62.4,58,18785368,17484592,1300776,6.9,California,4
2015-01-01,2015,Jan,62.3,58.1,18794302,17513360,1280942,6.8,California,4
2015-02-01,2015,Feb,62.3,58.1,18804573,17539526,1265047,6.7,California,4
2015-03-01,2015,Mar,62.3,58.2,18816299,17566611,1249688,6.6,California,4
2015-04-01,2015,Apr,62.3,58.2,18826398,17594659,1231739,6.5,California,4
2015-05-01,2015,May,62.3,58.3,18830333,17620363,1209970,6.4,California,4
2015-06-01,2015,Jun,62.2,58.3,18825613,17640900,1184713,6.3,California,4
2015-07-01,2015,Jul,62.1,58.3,18816836,17658045,1158791,6.2,California,4
2015-08-01,2015,Aug,62,58.3,18810236,17674840,1135396,6,California,4
2015-09-01,2015,Sep,62,58.3,18810658,17695331,1115327,5.9,California,4
2015-10-01,2015,Oct,62,58.4,18824385,17724466,1099919,5.8,California,4
2015-11-01,2015,Nov,62,58.4,18852382,17762494,1089888,5.8,California,4
2015-12-01,2015,Dec,62.1,58.5,18886247,17804150,1082097,5.7,California,4
2016-01-01,2016,Jan,62.1,58.6,18917326,17843140,1074186,5.7,California,4
2016-02-01,2016,Feb,62.2,58.7,18941962,17875645,1066317,5.6,California,4
2016-03-01,2016,Mar,62.2,58.7,18959258,17901022,1058236,5.6,California,4
2016-04-01,2016,Apr,62.2,58.7,18973207,17921613,1051594,5.5,California,4
2016-05-01,2016,May,62.2,58.8,18989520,17941250,1048270,5.5,California,4
2016-06-01,2016,Jun,62.2,58.8,19008579,17961187,1047392,5.5,California,4
2016-07-01,2016,Jul,62.2,58.8,19028074,17981056,1047018,5.5,California,4
2016-08-01,2016,Aug,62.2,58.8,19046039,17999607,1046432,5.5,California,4
2016-09-01,2016,Sep,62.2,58.8,19061155,18015129,1046026,5.5,California,4
2016-10-01,2016,Oct,62.2,58.8,19071727,18028383,1043344,5.5,California,4
2016-11-01,2016,Nov,62.2,58.8,19079948,18044658,1035290,5.4,California,4
2016-12-01,2016,Dec,62.2,58.9,19090083,18068401,1021682,5.4,California,4
2017-01-01,2017,Jan,62.2,58.9,19107737,18104833,1002904,5.2,California,4
2017-02-01,2017,Feb,62.2,59,19127260,18143666,983594,5.1,California,4
2017-03-01,2017,Mar,62.3,59.1,19149284,18183179,966105,5,California,4
2017-04-01,2017,Apr,62.3,59.2,19172412,18220082,952330,5,California,4
2017-05-01,2017,May,62.4,59.3,19193658,18252450,941208,4.9,California,4
2017-06-01,2017,Jun,62.4,59.4,19209913,18277837,932076,4.9,California,4
2017-07-01,2017,Jul,62.4,59.4,19220058,18295974,924084,4.8,California,4
2017-08-01,2017,Aug,62.3,59.4,19221629,18307232,914397,4.8,California,4
2017-09-01,2017,Sep,62.3,59.4,19215041,18312935,902106,4.7,California,4
2017-10-01,2017,Oct,62.2,59.3,19204052,18316581,887471,4.6,California,4
2017-11-01,2017,Nov,62.2,59.3,19193135,18320848,872287,4.5,California,4
2017-12-01,2017,Dec,62.1,59.3,19189000,18331881,857119,4.5,California,4
2018-01-01,2018,Jan,62.1,59.4,19198144,18354112,844032,4.4,California,4
2018-02-01,2018,Feb,62.2,59.5,19223127,18389120,834007,4.3,California,4
2018-03-01,2018,Mar,62.3,59.6,19257396,18431283,826113,4.3,California,4
2018-04-01,2018,Apr,62.4,59.7,19287831,18468594,819237,4.2,California,4
2018-05-01,2018,May,62.4,59.8,19305583,18491362,814221,4.2,California,4
2018-06-01,2018,Jun,62.4,59.8,19310277,18499191,811086,4.2,California,4
2018-07-01,2018,Jul,62.3,59.7,19305159,18495803,809356,4.2,California,4
2018-08-01,2018,Aug,62.3,59.7,19299752,18488583,811169,4.2,California,4
2018-09-01,2018,Sep,62.3,59.6,19300343,18483342,817001,4.2,California,4
2018-10-01,2018,Oct,62.3,59.6,19308507,18483737,824770,4.3,California,4
2018-11-01,2018,Nov,62.3,59.6,19321690,18490160,831530,4.3,California,4
2018-12-01,2018,Dec,62.3,59.6,19335749,18501839,833910,4.3,California,4
2019-01-01,2019,Jan,62.4,59.7,19346362,18516404,829958,4.3,California,4
2019-02-01,2019,Feb,62.4,59.7,19351682,18532272,819410,4.2,California,4
2019-03-01,2019,Mar,62.4,59.8,19354512,18548250,806262,4.2,California,4
2019-04-01,2019,Apr,62.4,59.8,19360091,18566280,793811,4.1,California,4
2019-05-01,2019,May,62.4,59.9,19369999,18584927,785072,4.1,California,4
2019-06-01,2019,Jun,62.4,59.9,19383861,18601627,782234,4,California,4
2019-07-01,2019,Jul,62.5,59.9,19400003,18615002,785001,4,California,4
2019-08-01,2019,Aug,62.5,60,19417606,18628076,789530,4.1,California,4
2019-09-01,2019,Sep,62.6,60,19440418,18649671,790747,4.1,California,4
2019-10-01,2019,Oct,62.6,60.1,19471434,18680037,791397,4.1,California,4
2019-11-01,2019,Nov,62.7,60.2,19507623,18714185,793438,4.1,California,4
2019-12-01,2019,Dec,62.8,60.3,19535597,18738543,797054,4.1,California,4
2020-01-01,2020,Jan,62.8,60.3,19545409,18744753,800656,4.1,California,4
2020-02-01,2020,Feb,62.8,60.2,19536350,18733837,802513,4.1,California,4
2020-03-01,2020,Mar,61.9,58.6,19267549,18213641,1053908,5.5,California,4
2020-04-01,2020,Apr,60,50.4,18651174,15685944,2965230,15.9,California,4
2020-05-01,2020,May,59.8,50.2,18606506,15604432,3002074,16.1,California,4
2020-06-01,2020,Jun,61.2,52.6,19042530,16365183,2677347,14.1,California,4
